p_swp,H2_swp,H2_dec,H2_mtc
0,Inf,Inf,NaN
0.025,6.04523914235755,7.31037775367992,NaN
0.05,4.32559730249351,5.23995506319238,NaN
0.075,3.57397435935902,4.33666324171361,3.56727853415136
0.1,3.13207701147954,3.80657767304352,3.10852624179126
0.125,2.83480753481507,3.45067473797466,2.8114287878705
0.15,2.61861477589735,3.19237425062221,2.65670758458329
0.175,2.453162643311,2.99513369022002,2.46733294587284
0.2,2.32190936034431,2.83903257529528,2.32141657117559
0.225,2.21497176843469,2.71217227895437,2.20125141196056
0.25,2.12603645248042,2.60695358954545,2.12686473473244
0.275,2.05085855261858,2.51826784739678,2.05516889199414
0.3,1.98646564328156,2.44253846404491,1.98314619962083
0.325,1.93070686407439,2.37717760246758,1.92391853332818
0.35,1.88198271620128,2.3202610364026,1.87295135050536
0.375,1.83907612258854,2.27032474230433,1.83959156491597
0.4,1.80104267173719,2.22623276208295,1.79695132742886
0.425,1.76713701581912,2.18708865557875,1.76613187080051
0.45,1.73676216583676,2.15217446847385,1.74347548438382
0.475,1.70943371301402,2.12090768733461,1.71091651428701
0.5,1.68475405052495,2.0928102229617,1.67914751944972
0.525,1.66239345465798,2.06748564789416,1.65440899817789
0.55,1.64207596915825,2.0446022124537,1.64257177277283
0.575,1.62356871603795,2.02387998328402,1.62162837155062
0.6,1.60667369188436,2.00508097206118,1.60727320344949
0.625,1.59122139587458,1.98800146717722,1.5955886736047
0.65,1.57706582527215,1.97246601001874,1.57648136268034
0.675,1.56408050500684,1.95832261533683,1.56317106232871
0.7,1.55215530865972,1.94543894331775,1.54951317713677
0.725,1.54119389138042,1.93369920777501,1.53950028219872
0.75,1.53111160075832,1.92300165920233,1.53091469320763
0.775,1.52183376440378,1.91325652100945,1.52111962132927
0.8,1.51329427706375,1.90438428622599,1.50983798864553
0.825,1.5054344276651,1.89631430270052,1.50433321621688
0.85,1.49820192048861,1.8889835935516,1.49879502419531
0.875,1.49155005386237,1.88233586214572,1.4926501239201
0.9,1.4854370281786,1.87632066246439,1.48616523429521
0.925,1.47982536033909,1.87089269399844,1.4810586172104
0.95,1.47468138750233,1.86601119832241,1.4756984510005
0.975,1.46997484924908,1.86163945719034,1.46998268304183
1,1.46567850780689,1.85774436279272,1.46567840231994
