p_swp,H2_sinr,H2_bern,H2_nom
0.1,4.55060491286964,4.85030966900868,5.79502219573314
0.125,4.34123051620033,4.60280697068998,5.30738514997499
0.15,4.1872193930502,4.40879325164146,4.96037865034164
0.175,4.06763973454356,4.27534995364383,4.69783016445315
0.2,3.97285562332368,4.13513947134194,4.49120734505137
0.225,3.89632883130929,4.06234331070118,4.32403759622323
0.25,3.83399689213446,3.98029793598069,4.18609706593139
0.275,3.78304773394329,3.92573536003405,4.07055016165652
0.3,3.74125477186249,3.87331443690896,3.97264682276167
0.325,3.70704116817733,3.83497845235343,3.88897876638334
0.35,3.67901632885303,3.7994667161954,3.81699767813909
0.375,3.65629747933858,3.77896472581373,3.75476734384584
0.4,3.63839562306867,3.75963093614039,3.70075883691067
0.425,3.62420407417977,3.74612500220638,3.65377176077418
0.45,3.61376362543177,3.73151031546412,3.6128324270455
0.475,3.60623814899344,3.72329772654912,3.57714962388058
0.5,3.60116475632058,3.72109821307076,3.54605304209918
0.525,3.59834897060636,3.71391626555939,3.5190105344692
0.55,3.59741207380696,3.71832638614208,3.4955456488358
0.575,3.59846634419164,3.71841007625376,3.47526527344551
0.6,3.60114208760858,3.7274860677848,3.45783008641176
0.625,3.60525352010339,3.72742877419575,3.44294840531616
0.65,3.61063808969519,3.74369987681018,3.43036370189665
0.675,3.61718178539897,3.7510298016144,3.4198518769684
0.7,3.62480575225046,3.76442412445645,3.41122469864714
0.725,3.63331853874794,3.76988803642029,3.40430417772163
0.75,3.6427343914445,3.78033552870063,3.39893905769346
0.775,3.65301227551313,3.80027427071914,3.39499223618835
0.8,3.66438728478181,3.81426267071465,3.39234471303477
0.825,3.67577913156259,3.82498443334113,3.39088686611438
0.85,3.68780579185851,3.84548333500116,3.39052090595218
0.875,3.69943515598289,3.84974271850646,3.39115858690752
0.9,3.71235367837529,3.8702960955698,3.39272094333389
0.925,3.72575285989951,3.89721114303476,3.3951362416982
0.95,3.73957058169023,3.89985669975346,3.39833877004256
0.975,3.75478055935611,3.92615544822506,3.40226910048059
1,3.76935535007127,3.9347907736625,3.40687807040857
NaN,3.67600798649978,3.82640589388414,3.38742342706605
